Gene_Name,CAPNS1,PFN2,PYGB,SCRN1,CCND1,HTRA1,ITGB5,RALB,TWF1,ANXA2,PKM,ACTN1,ANXA5,PTMS,CD63,RAB13,CBR1,SQSTM1,HCLS1,PTPRCAP,PTPRC,CORO1A,ARHGDIB,LAPTM5,WAS,CXCR4,LRMP,DAG1,PIR,MYB,EMP2
CGGA_1384,7.252760032,7.934162625,6.088735246,5.704318678,6.248686627,8.204179852,4.778208576,4.773468928,5.862947248,5.355791547,8.714451602,4.352617299,7.554358616,8.53648036,8.714039404,7.384826912,6.205353411,7.478648295,4.456806149,1.883620816,3.063502942,4.873813198,6.216454865,6.496334513,2.680324357,5.118525849,2.733354341,5.290203205,1.622930351,0.163498732,1.339137385
CGGA_1386,10.08418388,6.90833257,5.846493316,3.250961574,7.191799501,9.799621611,4.193771743,3.03562391,2.513490746,4.327687364,8.769408111,1.169925001,4.691534165,9.242173749,11.0270628,6.214124805,4.110196178,6.607774152,3.13093087,5.782146424,0.310340121,6.282069075,4.889473543,8.04428482,3.504620392,3.099295204,1.070389328,3.876762491,3.481557281,0.163498732,1.124328135
CGGA_1387,7.962201957,6.985614275,6.391802083,7.071033244,5.621758857,7.729484794,4.40599236,4.76394266,6.006073567,7.551285291,9.003995686,6.530289278,8.488964817,8.600321796,9.540399306,6.719457275,6.698079537,6.577881959,4.13996057,1.937344392,2.865918815,5.066519781,6.073606041,6.250014115,2.211012193,4.635754391,1.731183242,6.145269857,2.558267634,0.757023247,1.50589093
CGGA_1388,6.862451391,8.387888083,6.411426246,4.977279923,4.734980523,7.670797856,4.152183419,4.893362211,5.692092375,6.182096348,9.12425058,5.218393711,8.084276911,8.910762638,9.220426699,7.218684313,3.858975614,8.186064704,5.843732657,2.565597176,5.163901214,6.081297014,7.108315355,7.67058544,4.087462841,5.218781168,3.570462931,4.489928219,1.682573297,0.124328135,2.198494154
CGGA_1389,8.82282573,7.721577729,5.9502351,4.505255801,4.942514505,8.903580625,3.593353771,3.599317794,3.464668267,4.161081482,9.066950244,2.555816155,5.540399306,9.932081847,9.544925806,5.409730354,5.941341105,6.564987801,3.207892852,4.480911346,0.367371066,5.200457271,4.231893162,4.987775616,2.746312766,2.622930351,0.831877241,4.10349764,4.569855608,0.070389328,1.244887059
CGGA_139,7.728940868,7.976306348,5.969472865,6.666898582,4.08236197,7.197216693,4.087462841,5.402585758,4.56193706,3.928844037,9.032376393,5.682854169,5.511594542,8.207307223,7.840337339,4.529820947,6.162089162,6.883376437,3.415488271,1.752748591,1.673556424,6.053980168,4.339850003,4.591559746,1.918386234,3.189033824,2.575312331,4.545968369,3.047887329,0.286881148,1.565597176
CGGA_1390,8.565178258,7.510645504,5.13093087,5.206721357,3.066950244,7.840840853,4.248686627,4.029452886,3.865918815,7.181798281,9.191947513,5.670727054,6.837817127,9.250037809,10.22797687,6.781359714,6.624685811,7.780178844,4.143230135,2.969012308,1.286881148,6.998759651,6.224966365,5.981624361,3.748461233,1.622930351,2.263034406,3.896271849,4.568032105,0.189033824,2.010779839
CGGA_1391,8.01936833,7.339048283,5.842727469,4.754353072,4.437627248,7.970738639,6.002477504,4.303780748,4.000901403,8.928429546,9.851592897,6.170726276,8.100504659,9.85749898,10.82840627,7.656424863,8.177270028,8.599540966,3.987320866,4.635754391,1.169925001,5.479295243,5.808385051,6.235918488,3.614709844,3.161887682,1.384049807,5.155830172,4.424250286,0.263034406,2.503348735
CGGA_1392,10.36185607,6.251150991,4.995032192,3.867896464,3.941106311,7.507715369,5.246788094,4.165107985,3.746312766,8.402159367,10.1397304,4.395748328,6.714382911,9.709187228,11.47749014,7.136786096,7.84090378,8.004669922,4.500802053,4.584361253,0.97819563,6.152386258,6.240123484,8.549014512,4.111865964,4.324810603,0.790772038,4.457462965,5.049195106,0.5360529,2.025028794
CGGA_1393,8.03760186,7.275938239,5.262658655,5.826039959,4.28169825,7.48058827,5.887768949,4.790250739,4.76394266,8.014355293,9.337934043,7.909113038,8.953701754,8.816855662,10.45694985,8.019701914,7.021812824,8.078471075,5.440952198,2.801158656,2.912649865,5.678635348,7.0725346,6.328046556,4.04176865,6.221877081,1.344828497,5.193771743,3.439623138,0.757023247,2.250961574
CGGA_1394,7.295723025,7.709221698,6.581803149,5.82527683,4.944389962,8.015972508,2.831877241,4.215678597,4.894332742,5.547819957,7.639015048,4.600507645,6.702796044,8.024197765,8.13422094,5.855989697,7.551516018,7.210720042,4.212569339,1.659924558,1.66448284,4.758622982,5.98436149,5.7106687,2.553360503,2.763411574,1.350497247,5.439955517,3.791814071,0.23878686,1.50589093
CGGA_1398,7.697523639,8.017031081,6.621758857,4.828326926,5.024142346,7.802128579,5.818646083,4.227278994,4.66106548,4.89917563,8.319943024,3,7.105594276,9.587233708,9.241840184,7.391716175,4.688180359,6.70528679,4.262282806,3.448900951,1.641546029,5.163498732,5.720278465,6.073820233,3.504620392,4.657640005,1.682573297,3.972692654,2.709290636,0.189033824,2.277984747
CGGA_1400,9.880746738,8.158761144,5.091276694,2.90303827,7.102448178,8.538693351,3.493134922,2.835924074,2.40599236,3.436961338,8.811438919,0.925999419,4.349082146,10.97081771,10.50801261,5.136683578,5.351204277,6.676098121,1.709290636,5.56193706,0.028569152,4.938285792,3.392317423,6.317050764,2.107687869,0.50589093,0.056583528,4.10349764,2.735522177,0.163498732,1.03562391
CGGA_1401,7.204179852,8.320890785,6.254934119,5.982765463,5.280956314,7.634665866,5.185073638,4.027684877,5.172327492,5.43162296,8.213736096,3.43162296,6.962549023,8.881389316,8.696306864,7.152589069,3.852997588,7.121119039,4.124328135,2.996388746,2.307428525,5.005849076,5.673556424,6.303963356,3.23572706,3.211012193,2.09085343,5.118110506,3.255500733,0.189033824,1.575312331
CGGA_1402,8.164001817,5.235344128,5.613531653,5.195347598,3.250961574,8.155830172,6.859969548,4.99004722,4.95930649,9.432479264,8.997151248,6.246218046,8.376038543,9.261577826,11.00429773,7.557119022,6.612942196,7.905567519,6.099084761,4.51412226,3.64731451,6.105594276,7.966188183,8.680183682,4.846493316,4.788685711,2.124328135,5.441284272,4.61176256,0.176322773,4.22342255
